Hand_ID,Session_ID,Game_start,Game_duration,Hole_Card,Hand_Value,Winner,Pot,WinLoss,Leaderboard_points,Insurance
SG1000,1000,"November 28, 2021, 12:00:00 AM",02:55,5D/9D,8 High,Thomas Miller,0.54,0.16,0.99,0.76
SG1001,1001,"May 24, 2022, 12:00:00 AM",18:25,AD/8H,10 High,Henry Castro,0.35,0.82,0.0,0.43
SG1002,1002,"March 22, 2022, 12:00:00 AM",01:30,10D/9D,A High,Ryan Lewis,0.77,0.93,0.74,0.29
SG1003,1003,"December 18, 2021, 12:00:00 AM",06:20,10D/5D,Pair of As,Christopher Bray,0.58,0.42,0.6,0.2
SG1004,1004,"September 29, 2021, 12:00:00 AM",23:40,QC/8S,10 High,Erica Wheeler,0.6,0.58,0.64,0.79
SG1005,1005,"September 11, 2021, 12:00:00 AM",13:25,KC/7H,Pair of 2s,Omar Wagner,0.75,0.36,0.01,0.14
SG1006,1006,"September 06, 2021, 12:00:00 AM",15:35,5S/3D,10 High,Anthony Knight,0.32,0.01,0.53,0.39
SG1007,1007,"July 10, 2021, 12:00:00 AM",13:55,AC/7D,10 High,Nicole Ray,0.38,0.31,0.83,0.92
SG1008,1008,"April 08, 2022, 12:00:00 AM",23:55,8C/AD,Pair of 2s,Darlene Torres,0.63,0.24,0.66,0.96
SG1009,1009,"August 25, 2021, 12:00:00 AM",17:50,7H/8C,A High,Shelley Smith,0.12,0.45,0.84,0.82
SG1010,1010,"April 14, 2022, 12:00:00 AM",13:20,2C/7D,Pair of 2s,Tyler Brooks,0.8,0.14,0.05,0.22
SG1011,1011,"May 14, 2022, 12:00:00 AM",23:05,6D/9S,Pair of As,Mrs. Emma Casey,0.35,0.04,0.28,0.18
SG1012,1012,"June 11, 2021, 12:00:00 AM",12:05,2S/4C,A High,William Harrison,0.27,0.69,0.64,0.62
SG1013,1013,"June 05, 2021, 12:00:00 AM",04:30,3S/AS,10 High,Rachel Peterson,0.31,0.64,0.96,0.32
SG1014,1014,"September 16, 2021, 12:00:00 AM",16:40,10H/3H,A High,Marcus Acosta,0.7,0.11,0.78,0.69
SG1015,1015,"August 19, 2021, 12:00:00 AM",16:45,8S/QH,Pair of 2s,Julie Byrd,0.04,0.4,0.15,0.24
SG1016,1016,"August 26, 2021, 12:00:00 AM",16:15,QH/5C,Pair of As,Ian Tate,0.89,0.64,0.34,0.12
SG1017,1017,"December 17, 2021, 12:00:00 AM",17:15,8D/4C,10 High,Wendy Kramer,0.18,1.0,0.17,0.04
SG1018,1018,"September 12, 2021, 12:00:00 AM",14:00,JH/7S,Pair of 2s,Brandon Herrera,0.09,0.61,0.49,0.43
SG1019,1019,"March 06, 2022, 12:00:00 AM",16:40,8S/10S,10 High,Amanda Johnson,0.82,0.48,0.7,0.77
SG1020,1020,"January 04, 2022, 12:00:00 AM",22:40,2C/4H,Pair of 2s,Lori Smith,0.03,0.25,0.93,0.12
SG1021,1021,"October 20, 2021, 12:00:00 AM",14:55,8S/AD,Pair of 2s,Raymond Taylor,0.94,0.14,0.97,0.59
SG1022,1022,"September 28, 2021, 12:00:00 AM",03:55,2H/4C,8 High,Tara Williams,0.81,0.54,0.3,0.4
SG1023,1023,"May 30, 2022, 12:00:00 AM",02:35,10D/5D,Pair of 2s,Madison Bell,0.22,0.13,0.37,0.33
SG1024,1024,"October 29, 2021, 12:00:00 AM",03:30,6H/2H,Pair of As,Darren Hernandez,0.75,0.05,0.19,0.73
SG1025,1025,"September 15, 2021, 12:00:00 AM",10:10,7D/2S,Pair of 2s,Courtney Woods,0.91,0.27,0.27,0.13
SG1026,1026,"April 08, 2022, 12:00:00 AM",22:15,JC/6S,A High,Brenda Tucker,0.71,0.29,0.96,0.08
SG1027,1027,"June 05, 2021, 12:00:00 AM",08:25,AH/9D,Pair of 2s,Ashley Smith,0.06,0.68,0.59,0.5
SG1028,1028,"February 20, 2022, 12:00:00 AM",05:40,5C/3S,Pair of 2s,Joseph Alexander,0.21,0.36,0.99,0.52
SG1029,1029,"June 26, 2021, 12:00:00 AM",00:05,KH/5C,Pair of 2s,Jeremy Sandoval,0.36,0.2,0.82,0.85
SG1030,1030,"January 10, 2022, 12:00:00 AM",20:20,JD/4C,10 High,John King,0.12,0.43,0.77,0.56
SG1031,1031,"October 05, 2021, 12:00:00 AM",22:05,5C/6C,Pair of 2s,David Allen,0.56,0.33,0.32,0.81
SG1032,1032,"December 24, 2021, 12:00:00 AM",02:25,KS/AD,8 High,Madison Evans MD,0.03,0.3,0.63,0.09
SG1033,1033,"October 31, 2021, 12:00:00 AM",13:35,JC/6H,Pair of 2s,Tony Sanchez,0.78,0.19,0.46,0.08
